dataset,original_source,source_url_or_doi,original_filename,harmonized_id,label,stack_identifier,focal_plane_index,true_focus_index,distance_from_focus,split_assignment,label_provenance_category,image_path
BMA,dataset,,pos008_1_page_4.png,pos008_1_page_4,1,pos008_1,4.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos008_1\pos008_1_page_4.png
BMA,dataset,,pos008_2_page_6.png,pos008_2_page_6,1,pos008_2,6.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos008_2\pos008_2_page_6.png
BMA,dataset,,pos008_3_page_6.png,pos008_3_page_6,1,pos008_3,6.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos008_3\pos008_3_page_6.png
BMA,dataset,,pos009_0_page_4.png,pos009_0_page_4,1,pos009_0,4.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos009_0\pos009_0_page_4.png
BMA,dataset,,pos009_1_page_4.png,pos009_1_page_4,1,pos009_1,4.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos009_1\pos009_1_page_4.png
BMA,dataset,,pos000_0_page_1.png,pos000_0_page_1,0,pos000_0,1.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_0\pos000_0_page_1.png
BMA,dataset,,pos000_0_page_10.png,pos000_0_page_10,0,pos000_0,10.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_0\pos000_0_page_10.png
BMA,dataset,,pos000_0_page_11.png,pos000_0_page_11,0,pos000_0,11.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_0\pos000_0_page_11.png
BMA,dataset,,pos000_0_page_12.png,pos000_0_page_12,0,pos000_0,12.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_0\pos000_0_page_12.png
BMA,dataset,,pos000_0_page_13.png,pos000_0_page_13,0,pos000_0,13.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_0\pos000_0_page_13.png
BMA,dataset,,pos000_0_page_14.png,pos000_0_page_14,0,pos000_0,14.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_0\pos000_0_page_14.png
BMA,dataset,,pos000_0_page_2.png,pos000_0_page_2,0,pos000_0,2.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_0\pos000_0_page_2.png
BMA,dataset,,pos000_0_page_3.png,pos000_0_page_3,0,pos000_0,3.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_0\pos000_0_page_3.png
BMA,dataset,,pos000_0_page_4.png,pos000_0_page_4,0,pos000_0,4.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_0\pos000_0_page_4.png
BMA,dataset,,pos000_0_page_5.png,pos000_0_page_5,0,pos000_0,5.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_0\pos000_0_page_5.png
BMA,dataset,,pos000_0_page_6.png,pos000_0_page_6,0,pos000_0,6.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_0\pos000_0_page_6.png
BMA,dataset,,pos000_1_page_1.png,pos000_1_page_1,0,pos000_1,1.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_1\pos000_1_page_1.png
BMA,dataset,,pos000_1_page_10.png,pos000_1_page_10,0,pos000_1,10.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_1\pos000_1_page_10.png
BMA,dataset,,pos000_1_page_11.png,pos000_1_page_11,0,pos000_1,11.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_1\pos000_1_page_11.png
BMA,dataset,,pos000_1_page_12.png,pos000_1_page_12,0,pos000_1,12.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_1\pos000_1_page_12.png
BMA,dataset,,pos000_1_page_13.png,pos000_1_page_13,0,pos000_1,13.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_1\pos000_1_page_13.png
BMA,dataset,,pos000_1_page_14.png,pos000_1_page_14,0,pos000_1,14.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_1\pos000_1_page_14.png
BMA,dataset,,pos000_1_page_2.png,pos000_1_page_2,0,pos000_1,2.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_1\pos000_1_page_2.png
BMA,dataset,,pos000_1_page_3.png,pos000_1_page_3,0,pos000_1,3.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_1\pos000_1_page_3.png
BMA,dataset,,pos000_1_page_4.png,pos000_1_page_4,0,pos000_1,4.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_1\pos000_1_page_4.png
BMA,dataset,,pos000_1_page_5.png,pos000_1_page_5,0,pos000_1,5.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_1\pos000_1_page_5.png
BMA,dataset,,pos000_1_page_6.png,pos000_1_page_6,0,pos000_1,6.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_1\pos000_1_page_6.png
BMA,dataset,,pos000_2_page_1.png,pos000_2_page_1,0,pos000_2,1.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_2\pos000_2_page_1.png
BMA,dataset,,pos000_2_page_10.png,pos000_2_page_10,0,pos000_2,10.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_2\pos000_2_page_10.png
BMA,dataset,,pos000_2_page_11.png,pos000_2_page_11,0,pos000_2,11.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_2\pos000_2_page_11.png
BMA,dataset,,pos000_2_page_12.png,pos000_2_page_12,0,pos000_2,12.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_2\pos000_2_page_12.png
BMA,dataset,,pos000_2_page_13.png,pos000_2_page_13,0,pos000_2,13.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_2\pos000_2_page_13.png
BMA,dataset,,pos000_2_page_14.png,pos000_2_page_14,0,pos000_2,14.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_2\pos000_2_page_14.png
BMA,dataset,,pos000_2_page_2.png,pos000_2_page_2,0,pos000_2,2.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_2\pos000_2_page_2.png
BMA,dataset,,pos000_2_page_3.png,pos000_2_page_3,0,pos000_2,3.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_2\pos000_2_page_3.png
BMA,dataset,,pos000_2_page_4.png,pos000_2_page_4,0,pos000_2,4.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_2\pos000_2_page_4.png
BMA,dataset,,pos000_2_page_5.png,pos000_2_page_5,0,pos000_2,5.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_2\pos000_2_page_5.png
BMA,dataset,,pos000_2_page_6.png,pos000_2_page_6,0,pos000_2,6.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_2\pos000_2_page_6.png
BMA,dataset,,pos000_3_page_1.png,pos000_3_page_1,0,pos000_3,1.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_3\pos000_3_page_1.png
BMA,dataset,,pos000_3_page_10.png,pos000_3_page_10,0,pos000_3,10.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_3\pos000_3_page_10.png
BMA,dataset,,pos000_3_page_11.png,pos000_3_page_11,0,pos000_3,11.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_3\pos000_3_page_11.png
BMA,dataset,,pos000_3_page_12.png,pos000_3_page_12,0,pos000_3,12.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_3\pos000_3_page_12.png
BMA,dataset,,pos000_3_page_13.png,pos000_3_page_13,0,pos000_3,13.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_3\pos000_3_page_13.png
BMA,dataset,,pos000_3_page_14.png,pos000_3_page_14,0,pos000_3,14.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_3\pos000_3_page_14.png
BMA,dataset,,pos000_3_page_2.png,pos000_3_page_2,0,pos000_3,2.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_3\pos000_3_page_2.png
BMA,dataset,,pos000_3_page_3.png,pos000_3_page_3,0,pos000_3,3.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_3\pos000_3_page_3.png
BMA,dataset,,pos000_3_page_4.png,pos000_3_page_4,0,pos000_3,4.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_3\pos000_3_page_4.png
BMA,dataset,,pos000_3_page_5.png,pos000_3_page_5,0,pos000_3,5.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_3\pos000_3_page_5.png
BMA,dataset,,pos000_3_page_6.png,pos000_3_page_6,0,pos000_3,6.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_3\pos000_3_page_6.png
BMA,dataset,,pos001_0_page_1.png,pos001_0_page_1,0,pos001_0,1.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_0\pos001_0_page_1.png
BMA,dataset,,pos001_0_page_10.png,pos001_0_page_10,0,pos001_0,10.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_0\pos001_0_page_10.png
BMA,dataset,,pos001_0_page_11.png,pos001_0_page_11,0,pos001_0,11.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_0\pos001_0_page_11.png
BMA,dataset,,pos001_0_page_12.png,pos001_0_page_12,0,pos001_0,12.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_0\pos001_0_page_12.png
BMA,dataset,,pos001_0_page_13.png,pos001_0_page_13,0,pos001_0,13.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_0\pos001_0_page_13.png
BMA,dataset,,pos001_0_page_14.png,pos001_0_page_14,0,pos001_0,14.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_0\pos001_0_page_14.png
BMA,dataset,,pos001_0_page_2.png,pos001_0_page_2,0,pos001_0,2.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_0\pos001_0_page_2.png
BMA,dataset,,pos001_0_page_3.png,pos001_0_page_3,0,pos001_0,3.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_0\pos001_0_page_3.png
BMA,dataset,,pos001_0_page_4.png,pos001_0_page_4,0,pos001_0,4.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_0\pos001_0_page_4.png
BMA,dataset,,pos001_0_page_5.png,pos001_0_page_5,0,pos001_0,5.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_0\pos001_0_page_5.png
BMA,dataset,,pos001_0_page_6.png,pos001_0_page_6,0,pos001_0,6.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_0\pos001_0_page_6.png
BMA,dataset,,pos001_1_page_1.png,pos001_1_page_1,0,pos001_1,1.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_1\pos001_1_page_1.png
BMA,dataset,,pos001_1_page_10.png,pos001_1_page_10,0,pos001_1,10.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_1\pos001_1_page_10.png
BMA,dataset,,pos001_1_page_11.png,pos001_1_page_11,0,pos001_1,11.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_1\pos001_1_page_11.png
BMA,dataset,,pos001_1_page_12.png,pos001_1_page_12,0,pos001_1,12.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_1\pos001_1_page_12.png
BMA,dataset,,pos001_1_page_13.png,pos001_1_page_13,0,pos001_1,13.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_1\pos001_1_page_13.png
BMA,dataset,,pos001_1_page_4.png,pos001_1_page_4,0,pos001_1,4.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_1\pos001_1_page_4.png
BMA,dataset,,pos001_1_page_5.png,pos001_1_page_5,0,pos001_1,5.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_1\pos001_1_page_5.png
BMA,dataset,,pos001_1_page_6.png,pos001_1_page_6,0,pos001_1,6.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_1\pos001_1_page_6.png
BMA,dataset,,pos001_1_page_7.png,pos001_1_page_7,0,pos001_1,7.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_1\pos001_1_page_7.png
BMA,dataset,,pos001_1_page_8.png,pos001_1_page_8,0,pos001_1,8.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_1\pos001_1_page_8.png
BMA,dataset,,pos001_1_page_9.png,pos001_1_page_9,0,pos001_1,9.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_1\pos001_1_page_9.png
BMA,dataset,,pos001_2_page_1.png,pos001_2_page_1,0,pos001_2,1.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_2\pos001_2_page_1.png
BMA,dataset,,pos001_2_page_10.png,pos001_2_page_10,0,pos001_2,10.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_2\pos001_2_page_10.png
BMA,dataset,,pos001_2_page_11.png,pos001_2_page_11,0,pos001_2,11.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_2\pos001_2_page_11.png
BMA,dataset,,pos001_2_page_12.png,pos001_2_page_12,0,pos001_2,12.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_2\pos001_2_page_12.png
BMA,dataset,,pos001_2_page_13.png,pos001_2_page_13,0,pos001_2,13.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_2\pos001_2_page_13.png
BMA,dataset,,pos001_2_page_14.png,pos001_2_page_14,0,pos001_2,14.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_2\pos001_2_page_14.png
BMA,dataset,,pos001_2_page_2.png,pos001_2_page_2,0,pos001_2,2.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_2\pos001_2_page_2.png
BMA,dataset,,pos001_2_page_6.png,pos001_2_page_6,0,pos001_2,6.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_2\pos001_2_page_6.png
BMA,dataset,,pos001_2_page_7.png,pos001_2_page_7,0,pos001_2,7.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_2\pos001_2_page_7.png
BMA,dataset,,pos001_2_page_8.png,pos001_2_page_8,0,pos001_2,8.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_2\pos001_2_page_8.png
BMA,dataset,,pos001_2_page_9.png,pos001_2_page_9,0,pos001_2,9.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_2\pos001_2_page_9.png
BMA,dataset,,pos001_3_page_1.png,pos001_3_page_1,0,pos001_3,1.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_3\pos001_3_page_1.png
BMA,dataset,,pos001_3_page_10.png,pos001_3_page_10,0,pos001_3,10.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_3\pos001_3_page_10.png
BMA,dataset,,pos001_3_page_11.png,pos001_3_page_11,0,pos001_3,11.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_3\pos001_3_page_11.png
BMA,dataset,,pos001_3_page_12.png,pos001_3_page_12,0,pos001_3,12.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_3\pos001_3_page_12.png
BMA,dataset,,pos001_3_page_13.png,pos001_3_page_13,0,pos001_3,13.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_3\pos001_3_page_13.png
BMA,dataset,,pos001_3_page_14.png,pos001_3_page_14,0,pos001_3,14.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_3\pos001_3_page_14.png
BMA,dataset,,pos001_3_page_2.png,pos001_3_page_2,0,pos001_3,2.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_3\pos001_3_page_2.png
BMA,dataset,,pos001_3_page_3.png,pos001_3_page_3,0,pos001_3,3.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_3\pos001_3_page_3.png
BMA,dataset,,pos001_3_page_7.png,pos001_3_page_7,0,pos001_3,7.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_3\pos001_3_page_7.png
BMA,dataset,,pos001_3_page_8.png,pos001_3_page_8,0,pos001_3,8.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_3\pos001_3_page_8.png
BMA,dataset,,pos001_3_page_9.png,pos001_3_page_9,0,pos001_3,9.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_3\pos001_3_page_9.png
BMA,dataset,,pos002_0_page_1.png,pos002_0_page_1,0,pos002_0,1.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_0\pos002_0_page_1.png
BMA,dataset,,pos002_0_page_10.png,pos002_0_page_10,0,pos002_0,10.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_0\pos002_0_page_10.png
BMA,dataset,,pos002_0_page_11.png,pos002_0_page_11,0,pos002_0,11.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_0\pos002_0_page_11.png
BMA,dataset,,pos002_0_page_12.png,pos002_0_page_12,0,pos002_0,12.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_0\pos002_0_page_12.png
BMA,dataset,,pos002_0_page_13.png,pos002_0_page_13,0,pos002_0,13.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_0\pos002_0_page_13.png
BMA,dataset,,pos002_0_page_4.png,pos002_0_page_4,0,pos002_0,4.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_0\pos002_0_page_4.png
BMA,dataset,,pos002_0_page_5.png,pos002_0_page_5,0,pos002_0,5.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_0\pos002_0_page_5.png
BMA,dataset,,pos002_0_page_6.png,pos002_0_page_6,0,pos002_0,6.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_0\pos002_0_page_6.png
BMA,dataset,,pos002_0_page_7.png,pos002_0_page_7,0,pos002_0,7.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_0\pos002_0_page_7.png
