dataset,image_path,label,stack_id,patient_id,source,split,source_stack_id,leakage_group_id
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos003_3\pos003_3_page_6.png,1,bma::pos003_3,,dataset,train,pos003_3,bma::pos003_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos004_0\pos004_0_page_2.png,1,bma::pos004_0,,dataset,train,pos004_0,bma::pos004_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos004_1\pos004_1_page_10.png,1,bma::pos004_1,,dataset,train,pos004_1,bma::pos004_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos004_2\pos004_2_page_11.png,1,bma::pos004_2,,dataset,train,pos004_2,bma::pos004_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos004_3\pos004_3_page_11.png,1,bma::pos004_3,,dataset,val,pos004_3,bma::pos004_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos005_0\pos005_0_page_10.png,1,bma::pos005_0,,dataset,val,pos005_0,bma::pos005_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos005_1\pos005_1_page_10.png,1,bma::pos005_1,,dataset,train,pos005_1,bma::pos005_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos005_2\pos005_2_page_10.png,1,bma::pos005_2,,dataset,train,pos005_2,bma::pos005_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos005_3\pos005_3_page_10.png,1,bma::pos005_3,,dataset,train,pos005_3,bma::pos005_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos006_0\pos006_0_page_10.png,1,bma::pos006_0,,dataset,train,pos006_0,bma::pos006_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos006_1\pos006_1_page_8.png,1,bma::pos006_1,,dataset,train,pos006_1,bma::pos006_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos006_2\pos006_2_page_10.png,1,bma::pos006_2,,dataset,train,pos006_2,bma::pos006_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos006_3\pos006_3_page_10.png,1,bma::pos006_3,,dataset,val,pos006_3,bma::pos006_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos007_0\pos007_0_page_8.png,1,bma::pos007_0,,dataset,train,pos007_0,bma::pos007_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos007_1\pos007_1_page_8.png,1,bma::pos007_1,,dataset,train,pos007_1,bma::pos007_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos007_2\pos007_2_page_10.png,1,bma::pos007_2,,dataset,train,pos007_2,bma::pos007_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos007_3\pos007_3_page_10.png,1,bma::pos007_3,,dataset,test,pos007_3,bma::pos007_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos008_0\pos008_0_page_4.png,1,bma::pos008_0,,dataset,train,pos008_0,bma::pos008_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos008_1\pos008_1_page_4.png,1,bma::pos008_1,,dataset,train,pos008_1,bma::pos008_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos008_2\pos008_2_page_6.png,1,bma::pos008_2,,dataset,val,pos008_2,bma::pos008_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos008_3\pos008_3_page_6.png,1,bma::pos008_3,,dataset,test,pos008_3,bma::pos008_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos009_0\pos009_0_page_4.png,1,bma::pos009_0,,dataset,train,pos009_0,bma::pos009_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos009_1\pos009_1_page_4.png,1,bma::pos009_1,,dataset,val,pos009_1,bma::pos009_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_0\pos000_0_page_1.png,0,bma::pos000_0,,dataset,train,pos000_0,bma::pos000_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_0\pos000_0_page_10.png,0,bma::pos000_0,,dataset,train,pos000_0,bma::pos000_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_0\pos000_0_page_11.png,0,bma::pos000_0,,dataset,train,pos000_0,bma::pos000_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_0\pos000_0_page_12.png,0,bma::pos000_0,,dataset,train,pos000_0,bma::pos000_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_0\pos000_0_page_13.png,0,bma::pos000_0,,dataset,train,pos000_0,bma::pos000_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_0\pos000_0_page_14.png,0,bma::pos000_0,,dataset,train,pos000_0,bma::pos000_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_0\pos000_0_page_2.png,0,bma::pos000_0,,dataset,train,pos000_0,bma::pos000_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_0\pos000_0_page_3.png,0,bma::pos000_0,,dataset,train,pos000_0,bma::pos000_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_0\pos000_0_page_4.png,0,bma::pos000_0,,dataset,train,pos000_0,bma::pos000_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_0\pos000_0_page_5.png,0,bma::pos000_0,,dataset,train,pos000_0,bma::pos000_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_0\pos000_0_page_6.png,0,bma::pos000_0,,dataset,train,pos000_0,bma::pos000_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_1\pos000_1_page_1.png,0,bma::pos000_1,,dataset,test,pos000_1,bma::pos000_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_1\pos000_1_page_10.png,0,bma::pos000_1,,dataset,test,pos000_1,bma::pos000_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_1\pos000_1_page_11.png,0,bma::pos000_1,,dataset,test,pos000_1,bma::pos000_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_1\pos000_1_page_12.png,0,bma::pos000_1,,dataset,test,pos000_1,bma::pos000_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_1\pos000_1_page_13.png,0,bma::pos000_1,,dataset,test,pos000_1,bma::pos000_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_1\pos000_1_page_14.png,0,bma::pos000_1,,dataset,test,pos000_1,bma::pos000_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_1\pos000_1_page_2.png,0,bma::pos000_1,,dataset,test,pos000_1,bma::pos000_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_1\pos000_1_page_3.png,0,bma::pos000_1,,dataset,test,pos000_1,bma::pos000_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_1\pos000_1_page_4.png,0,bma::pos000_1,,dataset,test,pos000_1,bma::pos000_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_1\pos000_1_page_5.png,0,bma::pos000_1,,dataset,test,pos000_1,bma::pos000_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_1\pos000_1_page_6.png,0,bma::pos000_1,,dataset,test,pos000_1,bma::pos000_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_2\pos000_2_page_1.png,0,bma::pos000_2,,dataset,train,pos000_2,bma::pos000_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_2\pos000_2_page_10.png,0,bma::pos000_2,,dataset,train,pos000_2,bma::pos000_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_2\pos000_2_page_11.png,0,bma::pos000_2,,dataset,train,pos000_2,bma::pos000_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_2\pos000_2_page_12.png,0,bma::pos000_2,,dataset,train,pos000_2,bma::pos000_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_2\pos000_2_page_13.png,0,bma::pos000_2,,dataset,train,pos000_2,bma::pos000_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_2\pos000_2_page_14.png,0,bma::pos000_2,,dataset,train,pos000_2,bma::pos000_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_2\pos000_2_page_2.png,0,bma::pos000_2,,dataset,train,pos000_2,bma::pos000_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_2\pos000_2_page_3.png,0,bma::pos000_2,,dataset,train,pos000_2,bma::pos000_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_2\pos000_2_page_4.png,0,bma::pos000_2,,dataset,train,pos000_2,bma::pos000_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_2\pos000_2_page_5.png,0,bma::pos000_2,,dataset,train,pos000_2,bma::pos000_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_2\pos000_2_page_6.png,0,bma::pos000_2,,dataset,train,pos000_2,bma::pos000_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_3\pos000_3_page_1.png,0,bma::pos000_3,,dataset,train,pos000_3,bma::pos000_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_3\pos000_3_page_10.png,0,bma::pos000_3,,dataset,train,pos000_3,bma::pos000_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_3\pos000_3_page_11.png,0,bma::pos000_3,,dataset,train,pos000_3,bma::pos000_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_3\pos000_3_page_12.png,0,bma::pos000_3,,dataset,train,pos000_3,bma::pos000_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_3\pos000_3_page_13.png,0,bma::pos000_3,,dataset,train,pos000_3,bma::pos000_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_3\pos000_3_page_14.png,0,bma::pos000_3,,dataset,train,pos000_3,bma::pos000_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_3\pos000_3_page_2.png,0,bma::pos000_3,,dataset,train,pos000_3,bma::pos000_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_3\pos000_3_page_3.png,0,bma::pos000_3,,dataset,train,pos000_3,bma::pos000_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_3\pos000_3_page_4.png,0,bma::pos000_3,,dataset,train,pos000_3,bma::pos000_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_3\pos000_3_page_5.png,0,bma::pos000_3,,dataset,train,pos000_3,bma::pos000_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_3\pos000_3_page_6.png,0,bma::pos000_3,,dataset,train,pos000_3,bma::pos000_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_0\pos001_0_page_1.png,0,bma::pos001_0,,dataset,train,pos001_0,bma::pos001_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_0\pos001_0_page_10.png,0,bma::pos001_0,,dataset,train,pos001_0,bma::pos001_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_0\pos001_0_page_11.png,0,bma::pos001_0,,dataset,train,pos001_0,bma::pos001_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_0\pos001_0_page_12.png,0,bma::pos001_0,,dataset,train,pos001_0,bma::pos001_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_0\pos001_0_page_13.png,0,bma::pos001_0,,dataset,train,pos001_0,bma::pos001_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_0\pos001_0_page_14.png,0,bma::pos001_0,,dataset,train,pos001_0,bma::pos001_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_0\pos001_0_page_2.png,0,bma::pos001_0,,dataset,train,pos001_0,bma::pos001_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_0\pos001_0_page_3.png,0,bma::pos001_0,,dataset,train,pos001_0,bma::pos001_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_0\pos001_0_page_4.png,0,bma::pos001_0,,dataset,train,pos001_0,bma::pos001_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_0\pos001_0_page_5.png,0,bma::pos001_0,,dataset,train,pos001_0,bma::pos001_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_0\pos001_0_page_6.png,0,bma::pos001_0,,dataset,train,pos001_0,bma::pos001_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_1\pos001_1_page_1.png,0,bma::pos001_1,,dataset,test,pos001_1,bma::pos001_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_1\pos001_1_page_10.png,0,bma::pos001_1,,dataset,test,pos001_1,bma::pos001_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_1\pos001_1_page_11.png,0,bma::pos001_1,,dataset,test,pos001_1,bma::pos001_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_1\pos001_1_page_12.png,0,bma::pos001_1,,dataset,test,pos001_1,bma::pos001_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_1\pos001_1_page_13.png,0,bma::pos001_1,,dataset,test,pos001_1,bma::pos001_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_1\pos001_1_page_4.png,0,bma::pos001_1,,dataset,test,pos001_1,bma::pos001_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_1\pos001_1_page_5.png,0,bma::pos001_1,,dataset,test,pos001_1,bma::pos001_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_1\pos001_1_page_6.png,0,bma::pos001_1,,dataset,test,pos001_1,bma::pos001_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_1\pos001_1_page_7.png,0,bma::pos001_1,,dataset,test,pos001_1,bma::pos001_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_1\pos001_1_page_8.png,0,bma::pos001_1,,dataset,test,pos001_1,bma::pos001_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_1\pos001_1_page_9.png,0,bma::pos001_1,,dataset,test,pos001_1,bma::pos001_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_2\pos001_2_page_1.png,0,bma::pos001_2,,dataset,val,pos001_2,bma::pos001_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_2\pos001_2_page_10.png,0,bma::pos001_2,,dataset,val,pos001_2,bma::pos001_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_2\pos001_2_page_11.png,0,bma::pos001_2,,dataset,val,pos001_2,bma::pos001_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_2\pos001_2_page_12.png,0,bma::pos001_2,,dataset,val,pos001_2,bma::pos001_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_2\pos001_2_page_13.png,0,bma::pos001_2,,dataset,val,pos001_2,bma::pos001_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_2\pos001_2_page_14.png,0,bma::pos001_2,,dataset,val,pos001_2,bma::pos001_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_2\pos001_2_page_2.png,0,bma::pos001_2,,dataset,val,pos001_2,bma::pos001_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_2\pos001_2_page_6.png,0,bma::pos001_2,,dataset,val,pos001_2,bma::pos001_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_2\pos001_2_page_7.png,0,bma::pos001_2,,dataset,val,pos001_2,bma::pos001_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_2\pos001_2_page_8.png,0,bma::pos001_2,,dataset,val,pos001_2,bma::pos001_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_2\pos001_2_page_9.png,0,bma::pos001_2,,dataset,val,pos001_2,bma::pos001_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_3\pos001_3_page_1.png,0,bma::pos001_3,,dataset,train,pos001_3,bma::pos001_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_3\pos001_3_page_10.png,0,bma::pos001_3,,dataset,train,pos001_3,bma::pos001_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_3\pos001_3_page_11.png,0,bma::pos001_3,,dataset,train,pos001_3,bma::pos001_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_3\pos001_3_page_12.png,0,bma::pos001_3,,dataset,train,pos001_3,bma::pos001_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_3\pos001_3_page_13.png,0,bma::pos001_3,,dataset,train,pos001_3,bma::pos001_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_3\pos001_3_page_14.png,0,bma::pos001_3,,dataset,train,pos001_3,bma::pos001_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_3\pos001_3_page_2.png,0,bma::pos001_3,,dataset,train,pos001_3,bma::pos001_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_3\pos001_3_page_3.png,0,bma::pos001_3,,dataset,train,pos001_3,bma::pos001_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_3\pos001_3_page_7.png,0,bma::pos001_3,,dataset,train,pos001_3,bma::pos001_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_3\pos001_3_page_8.png,0,bma::pos001_3,,dataset,train,pos001_3,bma::pos001_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos001_3\pos001_3_page_9.png,0,bma::pos001_3,,dataset,train,pos001_3,bma::pos001_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_0\pos002_0_page_1.png,0,bma::pos002_0,,dataset,train,pos002_0,bma::pos002_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_0\pos002_0_page_10.png,0,bma::pos002_0,,dataset,train,pos002_0,bma::pos002_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_0\pos002_0_page_11.png,0,bma::pos002_0,,dataset,train,pos002_0,bma::pos002_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_0\pos002_0_page_12.png,0,bma::pos002_0,,dataset,train,pos002_0,bma::pos002_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_0\pos002_0_page_13.png,0,bma::pos002_0,,dataset,train,pos002_0,bma::pos002_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_0\pos002_0_page_4.png,0,bma::pos002_0,,dataset,train,pos002_0,bma::pos002_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_0\pos002_0_page_5.png,0,bma::pos002_0,,dataset,train,pos002_0,bma::pos002_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_0\pos002_0_page_6.png,0,bma::pos002_0,,dataset,train,pos002_0,bma::pos002_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_0\pos002_0_page_7.png,0,bma::pos002_0,,dataset,train,pos002_0,bma::pos002_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_0\pos002_0_page_8.png,0,bma::pos002_0,,dataset,train,pos002_0,bma::pos002_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_0\pos002_0_page_9.png,0,bma::pos002_0,,dataset,train,pos002_0,bma::pos002_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_1\pos002_1_page_1.png,0,bma::pos002_1,,dataset,test,pos002_1,bma::pos002_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_1\pos002_1_page_10.png,0,bma::pos002_1,,dataset,test,pos002_1,bma::pos002_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_1\pos002_1_page_11.png,0,bma::pos002_1,,dataset,test,pos002_1,bma::pos002_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_1\pos002_1_page_12.png,0,bma::pos002_1,,dataset,test,pos002_1,bma::pos002_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_1\pos002_1_page_13.png,0,bma::pos002_1,,dataset,test,pos002_1,bma::pos002_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_1\pos002_1_page_4.png,0,bma::pos002_1,,dataset,test,pos002_1,bma::pos002_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_1\pos002_1_page_5.png,0,bma::pos002_1,,dataset,test,pos002_1,bma::pos002_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_1\pos002_1_page_6.png,0,bma::pos002_1,,dataset,test,pos002_1,bma::pos002_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_1\pos002_1_page_7.png,0,bma::pos002_1,,dataset,test,pos002_1,bma::pos002_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_1\pos002_1_page_8.png,0,bma::pos002_1,,dataset,test,pos002_1,bma::pos002_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_1\pos002_1_page_9.png,0,bma::pos002_1,,dataset,test,pos002_1,bma::pos002_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_2\pos002_2_page_1.png,0,bma::pos002_2,,dataset,train,pos002_2,bma::pos002_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_2\pos002_2_page_10.png,0,bma::pos002_2,,dataset,train,pos002_2,bma::pos002_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_2\pos002_2_page_11.png,0,bma::pos002_2,,dataset,train,pos002_2,bma::pos002_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_2\pos002_2_page_12.png,0,bma::pos002_2,,dataset,train,pos002_2,bma::pos002_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_2\pos002_2_page_13.png,0,bma::pos002_2,,dataset,train,pos002_2,bma::pos002_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_2\pos002_2_page_4.png,0,bma::pos002_2,,dataset,train,pos002_2,bma::pos002_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_2\pos002_2_page_5.png,0,bma::pos002_2,,dataset,train,pos002_2,bma::pos002_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_2\pos002_2_page_6.png,0,bma::pos002_2,,dataset,train,pos002_2,bma::pos002_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_2\pos002_2_page_7.png,0,bma::pos002_2,,dataset,train,pos002_2,bma::pos002_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_2\pos002_2_page_8.png,0,bma::pos002_2,,dataset,train,pos002_2,bma::pos002_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_2\pos002_2_page_9.png,0,bma::pos002_2,,dataset,train,pos002_2,bma::pos002_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_3\pos002_3_page_1.png,0,bma::pos002_3,,dataset,train,pos002_3,bma::pos002_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_3\pos002_3_page_10.png,0,bma::pos002_3,,dataset,train,pos002_3,bma::pos002_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_3\pos002_3_page_11.png,0,bma::pos002_3,,dataset,train,pos002_3,bma::pos002_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_3\pos002_3_page_12.png,0,bma::pos002_3,,dataset,train,pos002_3,bma::pos002_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos002_3\pos002_3_page_13.png,0,bma::pos002_3,,dataset,train,pos002_3,bma::pos002_3
